Timestamp,Background,What is your nationality?,Your current education level or recently finished one,accept_ai,trust_ai,ai_over_others,ai_speed,change_opinion_majority,adjust_majority,stubborn,"Have you ever used AI tools (e.g., ChatGPT, recommendation systems) during teamwork or study projects?"
29/10/2025 09:41:30,Engineering,Myanmar,Undergraduate,4,6,3,4,4,5,3,Yes
29/10/2025 09:43:09,Engineering,Myanmar,Undergraduate,5,4,3,4,6,6,3,Yes
29/10/2025 09:45:26,Other,Myanmar,Post-Doctoral,5,5,4,5,4,5,3,Yes
29/10/2025 09:47:19,Engineering,Myanmar,Graduate (Master),5,4,4,6,7,6,3,Yes
29/10/2025 10:05:38,Other,Cambodian,Graduate (Master),3,4,4,3,5,6,3,No
29/10/2025 10:15:01,Engineering,Myanmar,Graduate (Master),4,4,1,6,7,7,1,Yes
29/10/2025 10:17:35,Other,Burmese,Undergraduate,3,4,1,3,7,4,4,Yes
29/10/2025 10:22:49,Other,Burmese,Graduate (Master),5,6,1,5,5,5,5,Yes
29/10/2025 10:29:09,Engineering,Myanmar ,Graduate (Master),5,5,2,5,7,7,1,Yes
29/10/2025 10:55:22,Other,Myanmar,Undergraduate,7,7,7,7,7,7,7,Yes
29/10/2025 10:57:38,Other,Myanmar,Graduate (Master),4,4,2,3,6,7,3,Yes
29/10/2025 12:12:28,Engineering,Myanmar,Graduate (Master),2,5,3,2,4,4,3,Yes
29/10/2025 12:36:03,Other,Myanmar,Undergraduate,4,4,4,4,4,3,4,Yes
29/10/2025 12:43:54,Social Science,Myanmar ,Undergraduate,2,2,2,2,4,3,2,Yes
29/10/2025 12:51:13,Computer Science,Myanmar,Graduate (Master),5,5,4,6,5,6,2,Yes
29/10/2025 12:55:25,Other,Myanmar ,Undergraduate,4,3,3,4,5,4,3,Yes
29/10/2025 13:14:55,Other,ဗမာ,Undergraduate,6,6,7,6,5,7,7,Yes
29/10/2025 13:43:13,Computer Science,Myanmar,Undergraduate,6,3,1,5,7,6,1,Yes
29/10/2025 13:49:22,Social Science,Cambodia ,Undergraduate,3,6,2,5,4,5,5,Yes
29/10/2025 14:22:24,Engineering,Myanmar ,Undergraduate,3,3,2,3,6,5,2,Yes
29/10/2025 15:01:41,Engineering,Myanmar,Graduate (Master),5,4,3,5,5,5,3,Yes
29/10/2025 16:38:53,Other,Myanmar,Doctoral,3,3,2,5,4,5,4,Yes
29/10/2025 16:44:15,Engineering,Myanmar,Graduate (Master),4,5,3,5,3,2,4,Yes
29/10/2025 16:44:28,Engineering,ဘိရုမာ,Graduate (Master),4,6,6,2,1,1,7,Yes
29/10/2025 17:13:32,Social Science,Myanmar ,Doctoral,7,5,4,5,4,7,5,Yes
29/10/2025 17:31:41,Engineering,malaysia. ,Undergraduate,4,5,5,4,5,5,5,No
29/10/2025 17:34:22,Engineering,Malaysian,Graduate (Master),4,1,1,5,6,6,2,Yes
29/10/2025 18:03:31,Other,Myanmar,Graduate (Master),4,4,2,3,5,5,4,Yes
29/10/2025 18:50:06,Social Science,Cambodian,Graduate (Master),3,3,1,1,4,4,4,Yes
29/10/2025 20:25:46,Other,Japan ,Undergraduate,2,4,2,2,4,3,4,Yes
29/10/2025 21:23:26,Engineering,Myanmar,Undergraduate,1,3,1,3,5,7,1,Yes
29/10/2025 22:17:36,Engineering,Myanmar ,Doctoral,2,5,1,6,4,5,4,Yes
29/10/2025 22:20:13,Engineering,Myanmar ,Graduate (Master),4,5,4,3,7,5,5,Yes
29/10/2025 23:09:31,Other,Burmese ,Graduate (Master),3,5,3,5,6,7,3,Yes
29/10/2025 23:10:04,Engineering,"Japanese, American",Graduate (Master),5,5,4,6,6,2,7,No
29/10/2025 23:26:43,Engineering,Myanmar ,Undergraduate,3,4,4,5,2,3,7,Yes
30/10/2025 01:09:09,Engineering,Myanmar ,Graduate (Master),5,5,7,7,7,1,4,Yes
30/10/2025 01:35:33,Social Science,Myanmar,Undergraduate,6,5,1,4,7,7,1,Yes
30/10/2025 01:51:14,Engineering,Myanmar ,Undergraduate,6,4,4,6,4,5,7,Yes
30/10/2025 10:07:26,Computer Science,Myanmar,Undergraduate,5,5,3,5,6,6,4,Yes
30/10/2025 11:10:16,Other,Myanmar ,Doctoral,4,2,1,4,5,5,3,Yes
30/10/2025 12:05:32,Other,Myanmar ,Graduate (Master),5,5,2,4,2,4,2,Yes
30/10/2025 20:26:11,Other,Myanmar ,Doctoral,3,4,2,3,4,4,4,Yes
02/11/2025 00:21:35,Other,Myanmar ,Doctoral,4,3,4,6,3,5,2,Yes
